# pairs_indfaints, pairs_indbrights
2666236,2666234
10675677,10675749
6265636,6265643
10834172,10834717
6072522,6072514
8130770,8130774
3513280,3513225
1768413,1768447
13488500,13488496
5224100,5224097
10786134,10785778
9013133,9013138
13474968,13476122
2970941,2970947
11731482,11731477
6650741,6650754
13939575,13939713
1343029,1343026
5780105,5780109
3459750,3464583
3885325,3885268
5327707,5327651
11833403,11833406
3752298,3752286
4723346,4723353
4874642,4874656
10535211,10535213
6431043,6431502
12672766,12672949
3677562,3699587
13859871,13859877
13731475,13731384
2222223,2222222
11414166,11414194
3854879,3854843
2101415,2101414
6608523,6608511
2655047,2655046
8308249,8307776
6175566,6175585
4101923,4101919
6327431,6327958
13834973,13834978
4031715,4031718
3880855,3880859
1091122,1091121
1597986,1597983
2521001,2520848
6101166,6101171
11531867,11531854
2711873,2706969
1682807,1682831
5806779,5806774
13680752,13680652
3894988,3894803
9954248,9954244
11863871,11865414
9158098,9158120
13989459,13987097
3649476,3649467
4191878,4191879
3342699,3342766
5448532,5448519
12328412,12328403
3780668,3780670
3798777,3798772
10345081,10344884
1306191,1306209
5672640,5672667
9376423,9376462
13484440,13484437
2575537,2575627
11744534,11744530
5425888,5425887
1571040,1571035
10115704,10115709
1674941,1674934
11044147,11044155
6241551,6241033
5471278,5471302
10522656,10522657
4307434,4308731
3576877,3576687
12210573,12212128
13788190,13788165
10493617,10493622
5996308,5996296
12574455,12574459
5903065,5903204
4251810,4251807
3889030,3888992
4198804,4198802
5402161,5402156
4630315,4630347
3191062,3191051
8293983,8293986
4423467,4423447
6344855,6344850
13503248,13503232
9874106,9874130
4970549,4970550
4742145,4742173
3206389,3206434
8190090,8190088
5029637,5029668
4744286,4744318
3718853,3718855
6387965,6387972
13883519,13871377
5455217,5455234
3301122,3301125
6565741,6534475
4755469,4755430
6227576,6227598
11581956,11581965
5426997,5426995
788265,788262
3334712,3334713
13812464,13812463
11873067,11874275
13098286,13098301
13634180,13634157
3686513,3686518
5674575,5674528
4795930,4795917
4173999,4174131
12664472,12664469
3208835,3208837
3866457,3866537
5018950,5340276
13494164,13494166
13489243,13489448
592960,592343
4632114,4632135
5706129,5706128
12748615,12748992
9735209,9735206
4715428,4715425
4389189,4392513
900227,900223
5607437,5607415
5272405,5272397
2909839,2909847
8041712,8041632
11959607,11959605
3575897,3576239
6406814,6406816
13011605,13011568
5426827,5426841
13979579,13979580
5935410,5927991
1477551,1478628
13843524,13843535
4660587,4660598
8203590,8203589
4531759,4531729
5613982,5613988
12173025,12173028
2220506,2220474
6111750,6111758
5901752,5901882
2196705,2196707
6326306,6326299
3166442,3166445
11559453,11560004
4599161,4599244
4397963,4420322
5632359,5632542
11791174,11791175
2248445,2248455
7956620,7956625
10065100,10065810
1540764,1540768
4207101,4207100
13710871,13710895
13923512,13923543
6600143,6600067
2188072,2188070
6195147,6198964
10399299,10399327
6280288,6280290
13876732,13876723
13667181,13667177
6356699,6356627
11037124,11037192
6019050,6019047
4901097,4901103
3365064,3365061
2193298,2193303
9575278,9575094
4235852,4235880
7171922,7171926
6301696,6301697
4234818,4234696
4056616,4056628
11473526,11473497
13864307,13864338
5687529,5687524
3884915,3884601
2898934,2898952
10183846,10183945
13009290,13009294
3300612,3300635
4837267,4837258
1094380,1094373
5538069,5536482
6427804,6427720
5704461,5704455
5188893,5188917
4562319,4562293
2765692,2765699
3244832,3244838
1609514,1609522
1494935,1494934
4379306,4381641
1875874,1875902
2810213,2810124
6122970,6122921
3785900,3785901
8160240,8160243
477195,477215
13786606,13786588
8119263,8119255
13412649,13412646
8998702,8998700
12349586,12349589
3862711,3862744
2933710,2933708
2542126,2542116
5393167,5393304
9700591,9662090
6379999,6380038
5687644,5687639
5091956,5091959
13667748,13667786
10651894,10651923
6420784,6508232
10106502,10106508
5556108,5556107
13163069,13163080
1574587,1574509
13587584,13587600
13694838,13694843
3659065,3659027
9431403,9431401
13561744,13562012
4058845,4058840
5908771,5908780
6470713,6469570
9676010,9676000
10776558,10776544
12699008,12698857
742347,742356
10484806,10484815
3739002,3738968
13723407,13723509
2139656,2139684
13885440,13884271
5523353,5523278
13109540,13109539
3727143,3727140
13799890,13800000
13800302,13800249
11021207,11021206
11274027,11274026
2906909,2906911
13795827,13795845
4666903,4666699
10605239,10605237
11716051,11716043
11695854,11695842
11553817,11553780
3863192,3863240
13767071,13767065
4940816,4940811
4006970,4006967
12456172,12456107
13952037,13952033
1645743,1646348
5512966,5512977
5531959,5531948
10818454,10818464
5563373,5563379
2228780,2228795
5689816,5689642
13236875,13236872
3734120,3733806
4277980,4277927
4140779,4140769
5579175,5579465
4970513,4970512
4570447,4570865
13872143,13872010
4543478,4543457
6615673,6615648
4745729,4745698
8386705,8386706
3698771,3698760
13720344,13720340
4713439,4713468
3648626,3648627
3674548,3674535
4284114,4284128
3228951,3228957
5592840,5592842
4172094,4172085
3818601,3818406
13711089,13711104
3473943,3473990
9428766,9428763
5721352,5721384
5889636,5889644
4657687,4657695
1330181,1330170
5327228,5327215
13983207,13983184
452548,452552
5724030,5724053
4642498,4640329
12540899,12540882
13687713,13687451
13733096,13732985
2350687,2350724
11873675,11873671
3095702,3095698
13672701,13683371
4378099,4378136
4525300,4524017
12163247,12163302
13606907,13606945
2218923,2218920
2122966,2122977
4116886,4116888
11986654,11987919
13188433,13188425
6283179,6283171
13594666,13594662
13965759,13965602
3844181,3844186
9775236,9775245
5117448,5117452
3770655,3770661
11741890,11741900
11805807,11805808
3273488,3273557
12106372,12106591
4324530,4324533
13735489,13735478
5688997,5688991
3985601,3985598
3265181,3265177
6208788,6208794
